ACSOrder,UniqueID,TableName,Description,ShortName
,B19037_019,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Householder 25 to 44 years,HHAGE2
,B19037_036,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Householder 45 to 64 years,HHAGE3
,B19037_053,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Householder 65 years and over,HHAGE4
,B19001_001,,,HHINCT
,B19001_002,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Less than $10 000,HHINC1
,B19001_003,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$10 000 to $14 999,HHINC2
,B19001_004,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$15 000 to $19 999,HHINC3
,B19001_005,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$20 000 to $24 999,HHINC4
,B19001_006,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$25 000 to $29 999,HHINC5
,B19001_007,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$30 000 to $34 999,HHINC6
,B19001_008,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$35 000 to $39 999,HHINC7
,B19001_009,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$40 000 to $44 999,HHINC8
,B19001_010,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$45 000 to $49 999,HHINC9
,B19001_011,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$50 000 to $59 999,HHINC10
,B19001_012,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$60 000 to $74 999,HHINC11
,B19001_013,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$75 000 to $99 999,HHINC12
,B19001_014,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$100 000 to $124 999,HHINC13
,B19001_015,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$125 000 to $149 999,HHINC14
,B19001_016,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$150 000 to $199 999,HHINC15
,B19001_017,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),$200 000 or more,HHINC16
,B25044_001,,,HHVT
,B25044_002,TENURE BY VEHICLES AVAILABLE,Owner occupied,HHO
,B25044_003,TENURE BY VEHICLES AVAILABLE,Owner occupied : No vehicle available,HHOV0
,B25044_004,TENURE BY VEHICLES AVAILABLE,Owner occupied : 1 vehicle available,HHOV1
,B25044_005,TENURE BY VEHICLES AVAILABLE,Owner occupied : 2 vehicles available,HHOV2
,B25044_006,TENURE BY VEHICLES AVAILABLE,Owner occupied : 3 vehicles available,HHOV3
,B25044_007,TENURE BY VEHICLES AVAILABLE,Owner occupied : 4 vehicles available,HHOV4
,B25044_008,TENURE BY VEHICLES AVAILABLE,Owner occupied : 5 or more vehicles available,HHOV5
,B25044_009,TENURE BY VEHICLES AVAILABLE,Renter occupied,HHR
,B25044_010,TENURE BY VEHICLES AVAILABLE,Renter occupied : No vehicle available,HHRV0
,B25044_011,TENURE BY VEHICLES AVAILABLE,Renter occupied : 1 vehicle available,HHRV1
,B25044_012,TENURE BY VEHICLES AVAILABLE,Renter occupied : 2 vehicles available,HHRV2
,B25044_013,TENURE BY VEHICLES AVAILABLE,Renter occupied : 3 vehicles available,HHRV3
,B25044_014,TENURE BY VEHICLES AVAILABLE,Renter occupied : 4 vehicles available,HHRV4
,B25044_015,TENURE BY VEHICLES AVAILABLE,Renter occupied : 5 or more vehicles available,HHRV5
,B25024_001,,,HHUT
,B25024_002,UNITS IN STRUCTURE,1 detached,HHSF
,B25024_003,UNITS IN STRUCTURE,1 attached,HHSFA
,B25024_004,UNITS IN STRUCTURE,2,HHDUP
,B25024_005,UNITS IN STRUCTURE,3 or 4,HHMF4
,B25024_006,UNITS IN STRUCTURE,5 to 9,HHMF9
,B25024_007,UNITS IN STRUCTURE,10 to 19,HHMF19
,B25024_008,UNITS IN STRUCTURE,20 to 49,HHMF49
,B25024_009,UNITS IN STRUCTURE,50 or more,HHMF50
,B25024_010,UNITS IN STRUCTURE,Mobile home,HHMH
,B25024_011,UNITS IN STRUCTURE,Boat RV van etc.,HHRV
,B25004_001,,,HHVAT
,B25004_002,VACANCY STATUS,For rent,HHV1
,B25004_003,VACANCY STATUS,Rented not occupied,HHV2
,B25004_004,VACANCY STATUS,For sale only,HHV3
,B25004_005,VACANCY STATUS,Sold not occupied,HHV4
,B25004_006,VACANCY STATUS,For seasonal recreational or occasional use,HHV5
,B25004_007,VACANCY STATUS,For migrant workers,HHV6
,B25004_008,VACANCY STATUS,Other vacant,HHV7
,B01001_001,,,SAT
281,B01001_002,Estimate!!Total:!!Male:,SEX BY AGE,POPM
282,B01001_003,Estimate!!Total:!!Male:!!Under 5 years,SEX BY AGE,MAGE1
283,B01001_004,Estimate!!Total:!!Male:!!5 to 9 years,SEX BY AGE,MAGE2
284,B01001_005,Estimate!!Total:!!Male:!!10 to 14 years,SEX BY AGE,MAGE3
285,B01001_006,Estimate!!Total:!!Male:!!15 to 17 years,SEX BY AGE,MAGE4
286,B01001_007,Estimate!!Total:!!Male:!!18 and 19 years,SEX BY AGE,MAGE5
287,B01001_008,Estimate!!Total:!!Male:!!20 years,SEX BY AGE,MAGE6
288,B01001_009,Estimate!!Total:!!Male:!!21 years,SEX BY AGE,MAGE7
289,B01001_010,Estimate!!Total:!!Male:!!22 to 24 years,SEX BY AGE,MAGE8
290,B01001_011,Estimate!!Total:!!Male:!!25 to 29 years,SEX BY AGE,MAGE9
291,B01001_012,Estimate!!Total:!!Male:!!30 to 34 years,SEX BY AGE,MAGE10
292,B01001_013,Estimate!!Total:!!Male:!!35 to 39 years,SEX BY AGE,MAGE11
293,B01001_014,Estimate!!Total:!!Male:!!40 to 44 years,SEX BY AGE,MAGE12
294,B01001_015,Estimate!!Total:!!Male:!!45 to 49 years,SEX BY AGE,MAGE13
295,B01001_016,Estimate!!Total:!!Male:!!50 to 54 years,SEX BY AGE,MAGE14
296,B01001_017,Estimate!!Total:!!Male:!!55 to 59 years,SEX BY AGE,MAGE15
297,B01001_018,Estimate!!Total:!!Male:!!60 and 61 years,SEX BY AGE,MAGE16
298,B01001_019,Estimate!!Total:!!Male:!!62 to 64 years,SEX BY AGE,MAGE17
299,B01001_020,Estimate!!Total:!!Male:!!65 and 66 years,SEX BY AGE,MAGE18
300,B01001_021,Estimate!!Total:!!Male:!!67 to 69 years,SEX BY AGE,MAGE19
301,B01001_022,Estimate!!Total:!!Male:!!70 to 74 years,SEX BY AGE,MAGE20
302,B01001_023,Estimate!!Total:!!Male:!!75 to 79 years,SEX BY AGE,MAGE21
303,B01001_024,Estimate!!Total:!!Male:!!80 to 84 years,SEX BY AGE,MAGE22
304,B01001_025,Estimate!!Total:!!Male:!!85 years and over,SEX BY AGE,MAGE23
305,B01001_026,Estimate!!Total:!!Female:,SEX BY AGE,POPF
306,B01001_027,Estimate!!Total:!!Female:!!Under 5 years,SEX BY AGE,FAGE1
307,B01001_028,Estimate!!Total:!!Female:!!5 to 9 years,SEX BY AGE,FAGE2
308,B01001_029,Estimate!!Total:!!Female:!!10 to 14 years,SEX BY AGE,FAGE3
309,B01001_030,Estimate!!Total:!!Female:!!15 to 17 years,SEX BY AGE,FAGE4
310,B01001_031,Estimate!!Total:!!Female:!!18 and 19 years,SEX BY AGE,FAGE5
311,B01001_032,Estimate!!Total:!!Female:!!20 years,SEX BY AGE,FAGE6
312,B01001_033,Estimate!!Total:!!Female:!!21 years,SEX BY AGE,FAGE7
313,B01001_034,Estimate!!Total:!!Female:!!22 to 24 years,SEX BY AGE,FAGE8
314,B01001_035,Estimate!!Total:!!Female:!!25 to 29 years,SEX BY AGE,FAGE9
315,B01001_036,Estimate!!Total:!!Female:!!30 to 34 years,SEX BY AGE,FAGE10
316,B01001_037,Estimate!!Total:!!Female:!!35 to 39 years,SEX BY AGE,FAGE11
317,B01001_038,Estimate!!Total:!!Female:!!40 to 44 years,SEX BY AGE,FAGE12
318,B01001_039,Estimate!!Total:!!Female:!!45 to 49 years,SEX BY AGE,FAGE13
319,B01001_040,Estimate!!Total:!!Female:!!50 to 54 years,SEX BY AGE,FAGE14
320,B01001_041,Estimate!!Total:!!Female:!!55 to 59 years,SEX BY AGE,FAGE15
321,B01001_042,Estimate!!Total:!!Female:!!60 and 61 years,SEX BY AGE,FAGE16
322,B01001_043,Estimate!!Total:!!Female:!!62 to 64 years,SEX BY AGE,FAGE17
323,B01001_044,Estimate!!Total:!!Female:!!65 and 66 years,SEX BY AGE,FAGE18
324,B01001_045,Estimate!!Total:!!Female:!!67 to 69 years,SEX BY AGE,FAGE19
325,B01001_046,Estimate!!Total:!!Female:!!70 to 74 years,SEX BY AGE,FAGE20
326,B01001_047,Estimate!!Total:!!Female:!!75 to 79 years,SEX BY AGE,FAGE21
327,B01001_048,Estimate!!Total:!!Female:!!80 to 84 years,SEX BY AGE,FAGE22
328,B01001_049,Estimate!!Total:!!Female:!!85 years and over,SEX BY AGE,FAGE23
,B11005_001,,,HHKT
6837,B11005_002,Estimate!!Total:!!Households with one or more people under 18 years:,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,HHKID2
